snapname,jb_rating,wdlands_rating
08-26_02-00_Tue.jpg,0.02,0.01
08-26_03-00_Tue.jpg,0.03,0.02
08-26_04-00_Tue.jpg,0.04,0.02
08-26_05-00_Tue.jpg,0.03,0.07
08-26_06-00_Tue.jpg,0.04,2.24
08-26_07-00_Tue.jpg,0.05,1.87
08-26_08-00_Tue.jpg,0.05,4.01
08-26_09-00_Tue.jpg,0.05,0.04
08-26_10-00_Tue.jpg,0.05,0.03
08-26_11-00_Tue.jpg,0.17,0.03
08-26_12-00_Tue.jpg,0.05,0.03
08-26_13-00_Tue.jpg,0.05,0.06
08-26_14-00_Tue.jpg,0.05,0.04
08-26_15-00_Tue.jpg,0.29,4.58
08-26_16-00_Tue.jpg,0.2,4.77
08-26_17-00_Tue.jpg,0.1,4.37
08-26_18-00_Tue.jpg,0.06,1.63
08-26_19-00_Tue.jpg,0.16,3.82
08-26_20-00_Tue.jpg,0.04,2.1
08-26_21-00_Tue.jpg,4.0,0.03
08-26_22-00_Tue.jpg,0.02,4.29
08-26_23-00_Tue.jpg,0.02,0.02
08-27_00-00_Wed.jpg,0.03,0.01
08-27_01-00_Wed.jpg,0.03,3.82
08-27_02-00_Wed.jpg,0.03,3.33
08-27_03-00_Wed.jpg,0.02,0.01
08-27_04-00_Wed.jpg,0.02,0.02
08-27_05-00_Wed.jpg,0.03,0.01
08-27_06-00_Wed.jpg,0.04,0.11
08-27_07-00_Wed.jpg,0.12,4.22
08-27_08-00_Wed.jpg,0.05,4.44
08-27_09-00_Wed.jpg,0.07,2.98
08-27_10-00_Wed.jpg,0.05,4.08
08-27_11-00_Wed.jpg,0.06,4.22
08-27_12-00_Wed.jpg,0.05,4.21
08-27_13-00_Wed.jpg,0.06,4.47
08-27_14-00_Wed.jpg,0.06,2.99
08-27_15-00_Wed.jpg,0.39,4.36
08-27_16-00_Wed.jpg,0.17,0.01
08-27_17-00_Wed.jpg,0.14,4.3
08-27_18-00_Wed.jpg,0.07,4.69
08-27_19-00_Wed.jpg,0.06,4.65
08-27_20-00_Wed.jpg,0.03,0.04
08-27_21-00_Wed.jpg,0.04,4.64
08-27_22-00_Wed.jpg,0.02,0.04
08-27_23-00_Wed.jpg,0.03,0.02
08-28_00-00_Thu.jpg,0.03,0.02
08-28_01-00_Thu.jpg,0.02,0.02
08-28_02-00_Thu.jpg,0.03,0.02
08-28_03-00_Thu.jpg,0.03,0.02
08-28_04-00_Thu.jpg,0.02,0.02
08-28_05-00_Thu.jpg,0.02,0.03
08-28_06-00_Thu.jpg,0.03,2.46
08-28_07-00_Thu.jpg,0.05,4.35
08-28_08-00_Thu.jpg,0.04,4.39
08-28_09-00_Thu.jpg,0.05,0.03
08-28_10-00_Thu.jpg,3.0,2.62
08-28_11-00_Thu.jpg,4.0,4.39
08-28_12-00_Thu.jpg,0.18,4.62
08-28_13-00_Thu.jpg,2.0,4.07
08-28_14-00_Thu.jpg,0.35,0.07
08-28_15-00_Thu.jpg,0.37,0.02
08-28_16-00_Thu.jpg,0.45,4.39
08-28_17-00_Thu.jpg,0.54,1.81
08-28_18-00_Thu.jpg,0.26,0.04
08-28_19-00_Thu.jpg,0.44,4.68
08-28_20-00_Thu.jpg,0.04,0.03
08-28_21-00_Thu.jpg,0.03,0.02
08-28_22-00_Thu.jpg,0.03,2.85
08-29_00-00_Fri.jpg,0.03,0.02
08-29_01-00_Fri.jpg,0.02,0.01
08-29_02-00_Fri.jpg,0.03,0.02
08-29_03-00_Fri.jpg,0.03,3.18
08-29_04-00_Fri.jpg,0.04,0.03
08-29_05-00_Fri.jpg,0.03,0.02
08-29_06-00_Fri.jpg,0.04,0.7
08-29_07-00_Fri.jpg,0.05,3.29
08-29_08-00_Fri.jpg,0.06,0.36
08-29_09-00_Fri.jpg,0.05,0.09
08-29_10-00_Fri.jpg,0.08,0.08
08-29_11-00_Fri.jpg,0.05,0.07
08-29_12-00_Fri.jpg,4.02,0.03
08-29_13-00_Fri.jpg,4.14,0.04
08-29_14-00_Fri.jpg,0.44,3.84
08-29_15-00_Fri.jpg,0.23,0.04
08-29_16-00_Fri.jpg,0.48,3.62
08-29_17-00_Fri.jpg,0.46,3.77
08-29_18-00_Fri.jpg,0.26,4.61
08-29_19-00_Fri.jpg,0.62,4.31
08-29_20-00_Fri.jpg,0.04,0.08
