Mon,Tue,Wed,Thu,Fri,Sat,Time of Day,hour_sin,hour_cos,month,exact_date_value,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,full_date_ymd,sch_hol_period,public_hol_period,congestion_scale_jb,congestion_scale_wdlands
0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,6.123233995736766e-17,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,0.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.9659258262890684,-0.2588190451025206,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.8660254037844387,-0.4999999999999998,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,0.0,5.0
0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.7071067811865476,-0.7071067811865475,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.4999999999999999,-0.8660254037844387,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.258819045102521,-0.9659258262890682,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.2246467991473532e-16,-1.0,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,13.0,-0.2588190451025208,-0.9659258262890684,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,5.0,5.0
0.0,1.0,0.0,0.0,0.0,0.0,14.0,-0.4999999999999997,-0.8660254037844388,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,4.0,5.0
0.0,1.0,0.0,0.0,0.0,0.0,15.0,-0.7071067811865471,-0.7071067811865479,12,17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,2024-12-17,True,False,0.0,5.0
